tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
1.43			0.01	Ma		This study								Extrusive	Volcanic Vent		4.23e-05	4.55e-05	3.93e-05				11	20.77605	Scoria	Hawaiian Islands	203.46567	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU004	BiCEP_GUI	MU004A01:MU004B01:MU004B02:MU004B03:MU004C01:MU004C02:MU004C03:MU004A02:MU004A03:MU004B04:MU004C04					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.81879	Scoria	Hawaiian Islands	203.38143	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU005							
	5.0	0.0		Ma		This study								Sedimentary	Baked Contact									20.81851	Not Specified	Hawaiian Islands	203.38112	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU006							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.81851	Basalt	Hawaiian Islands	203.38112	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU007							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.81885	Scoria	Hawaiian Islands	203.38219	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU008							
0.61			0.006	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		3.66e-05	4.24e-05	3.1e-05	1.99e-06	5.22		6	20.81885	Scoria	Hawaiian Islands	203.38218	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU009	BiCEP_GUI	MU009A01:MU009A02:MU009A03:MU009A04:MU009A05:MU009A06					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.81885	Scoria	Hawaiian Islands	203.38218	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU010							
1.2295			0.0048	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		2.65e-05			3.65e-06	13.78		5	20.83016	Bomb Tephra:Scoria	Hawaiian Islands	203.3689	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT		MU011	pmagpy-4.2.100: thellier_gui.pmagpy-4.2.100	MU011A01:MU011A02:MU011A04:MU011A05:MU011A06					
0.3			0.0108	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Lava Flow		3.46e-05	3.76e-05	3.18e-05	1.67e-06	4.81		6	20.88931	Clinker:Basanite	Hawaiian Islands	203.32516	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU012	BiCEP_GUI	MU012A01:MU012A02:MU012A03:MU012A04:MU012A05:MU012A06					
0.584			0.005	Ma		This study								Extrusive	Volcanic Vent		1.92e-05	2.38e-05	1.48e-05				8	20.92685	Scoria	Hawaiian Islands	203.30367	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU013	BiCEP_GUI	MU013A01:MU013A02:MU013B01:MU013B02:MU013C01:MU013C02:MU013C03:MU013C04					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.01991	Basalt	Hawaiian Islands	203.39099	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU014							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.01991	Basalt	Hawaiian Islands	203.39099	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU015							
	5.0	0.0		Ma		This study								Extrusive	Tuff									21.01991	Lapilli Ash	Hawaiian Islands	203.39099	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU016							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.01991	Basalt	Hawaiian Islands	203.39099	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU017							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Dome									20.99872	Trachyte	Hawaiian Islands	203.45515	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU018							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.63531	Scoria	Hawaiian Islands	203.60752	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU019							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.61021	Basalt	Hawaiian Islands	203.69318	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU020							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.61072	Scoria	Hawaiian Islands	203.69213	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU021							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.6102	Scoria	Hawaiian Islands	203.69502	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU022							
0.0765			0.03175	Ma		This study								Extrusive	Volcanic Vent		3.1e-05	3.5600000000000005e-05	2.61e-05				8	20.61085	Scoria	Hawaiian Islands	203.689	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU023	BiCEP_GUI	MU023A01:MU023A02:MU023A03:MU023A04:MU023A05:MU023A06:MU023A07:MU023A08					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.77261	Scoria	Hawaiian Islands	203.75264	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU024							
0.095			0.0225	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		4.21e-05	5.02e-05	3.39e-05	4e-06	9.46		7	20.70692	Scoria	Hawaiian Islands	203.74576	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU025	BiCEP_GUI	MU025A01:MU025A02:MU025A03:MU025A04:MU025A05:MU025A06:MU025A07					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.7062	Scoria	Hawaiian Islands	203.7469	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU026							
0.095			0.0225	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		2.47e-05			3e-06	12.16		6	20.70551	Scoria	Hawaiian Islands	203.74143	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT		MU027	pmagpy-4.2.100: thellier_gui.pmagpy-4.2.100	MU027A01:MU027A02:MU027A06:MU027A07:MU027A08:MU027A09					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.70354	Scoria	Hawaiian Islands	203.7366	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU028							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.70292	Scoria	Hawaiian Islands	203.72996	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU029							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.70076	Basalt	Hawaiian Islands	203.72582	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU030							
0.067			0.0202	Ma		This study								Extrusive	Volcanic Vent		4.04e-05	4.6e-05	3.46e-05				1	20.69669	Scoria	Hawaiian Islands	203.7196	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU031	BiCEP_GUI	MU031A01:MU031A02:MU031A03:MU031B01:MU031B02:MU031B03:MU031A04:MU031A05:MU031B04:MU031B05					
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.69108	Scoria	Hawaiian Islands	203.70771	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU032							
	5.0	0.0		Ma		This study								Extrusive	Volcanic Vent									20.69201	Scoria	Hawaiian Islands	203.70491	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU033							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.69423	Basalt	Hawaiian Islands	203.7094	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU034							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.7006	Basalt	Hawaiian Islands	203.7266	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU035							
