tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
0.38			0.055	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		4.89e-05	5.22e-05	4.56e-05	3.74e-06	7.84		16	21.27831	Basanite	Hawaiian Islands	202.20071	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA030	BiCEP_GUI	OA030A01:OA030A02:OA030A03:OA030A04:OA030A05:OA030B01:OA030B02:OA030B03:OA030C01:OA030C02:OA030C03:OA030D01:OA030D02:OA030D03:OA030D04:OA030D05					
0.48			0.02	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		5.1e-05			4.98e-07	0.98		6	21.28628	Basanite	Hawaiian Islands	202.20209	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		OA100	pmagpy-4.2.100: thellier_gui.pmagpy-4.2.100	OA100A01:OA100A02:OA100A03:OA100A04:OA100A05:OA100A06					
0.48			0.02	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		4.3e-05	4.83e-05	3.73e-05	2.72e-06	6.72		9	21.28521	Basanite	Hawaiian Islands	202.201	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA101	BiCEP_GUI	OA101A01:OA101B01:OA101B02:OA101B03:OA101B04:OA101C01:OA101B05:OA101B06:OA101B07					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.3039	Basalt	Hawaiian Islands	202.34649	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA102							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30281	Basalt	Hawaiian Islands	202.34725	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA103							
2.18			0.175	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Lava Flow		1.76e-05			8.83e-07	5.03		3	21.3008	Basalt	Hawaiian Islands	202.3468	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		OA104	pmagpy-4.2.100: thellier_gui.pmagpy-4.2.100	OA104A01:OA104A02:OA104A08					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.3008	Basalt	Hawaiian Islands	202.3468	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA105							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30378	Basalt	Hawaiian Islands	202.34854	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA106							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30441	Basalt	Hawaiian Islands	202.34837	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA107							
2.25			0.085	Ma		This study								Intrusive	Volcanic Dike		1.95e-05	2.55e-05	1.32e-05				8	21.30527	Basalt	Hawaiian Islands	202.34973	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA108	BiCEP_GUI	OA108A01:OA108A02:OA108A03:OA108A04:OA108B01:OA108B02:OA108A05:OA108A06					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30527	Basalt	Hawaiian Islands	202.34973	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA109							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30899	Basalt	Hawaiian Islands	202.34728	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA110							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.30899	Basalt	Hawaiian Islands	202.34728	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA111							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.36878	Basalt	Hawaiian Islands	202.20747	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA112							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.36878	Basalt	Hawaiian Islands	202.20747	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA113							
2.87			0.03	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Intrusive	Volcanic Dike		2.53e-05	3.02e-05	2.18e-05	2.23e-06	9.44		6	21.41002	Basalt	Hawaiian Islands	202.23646	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA114	BiCEP_GUI	OA114A01:OA114A02:OA114A03:OA114A04:OA114A05:OA114A06					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.40963	Basalt	Hawaiian Islands	202.23616	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA115							
3.72			0.025	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Intrusive	Volcanic Dike		2.49e-05	2.82e-05	2.17e-05	1.25e-06	4.69		8	21.40308	Basalt	Hawaiian Islands	201.82736	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA116	BiCEP_GUI	OA116A01:OA116A02:OA116A03:OA116A04:OA116A05:OA116A06:OA116A07:OA116A08					
3.72			0.025	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Intrusive	Volcanic Dike		2.37e-05	2.81e-05	1.92e-05	1.35e-06	5.7		5	21.40308	Basalt	Hawaiian Islands	201.82736	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA117	BiCEP_GUI	OA117A01:OA117A02:OA117A03:OA117A06:OA117A07					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.40308	Basalt	Hawaiian Islands	201.82736	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA118							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.40258	Basalt	Hawaiian Islands	201.82737	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA119							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.40246	Basalt	Hawaiian Islands	201.82738	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA120							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.4022	Basalt	Hawaiian Islands	201.82783	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA121							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.40211	Basalt	Hawaiian Islands	201.82787	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA122							
2.59			0.045	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Intrusive	Sill		1.38e-05	1.9e-05	1.03e-05	8.96e-07	7.07		6	21.40149	Basalt	Hawaiian Islands	201.82859	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA123	BiCEP_GUI	OA123A01:OA123A02:OA123A03:OA123A04:OA123B01:OA123A05					
3.15			0.015	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Intrusive	Volcanic Dike		3.68e-05	4.02e-05	3.3799999999999995e-05	3.6e-06	9.73		7	21.40168	Basalt	Hawaiian Islands	201.83073	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA124	BiCEP_GUI	OA124A01:OA124A02:OA124A03:OA124A04:OA124A05:OA124A06:OA124A07					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									21.55795	Basalt	Hawaiian Islands	201.7511	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA125							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									21.54645	Basalt	Hawaiian Islands	201.76133	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA126							
1.18	5.0	0.0	0.005	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			3.55	255.3	79.7	356.0	6	Extrusive:Igneous	Lava Flow		1.86e-05	2.49e-05	1.27e-05					-77.85	Basalt	McMurdo	166.64	IE-BICEP	g	mc1001			0.0			-69.56	95.53
0.33	5.0	0.0	0.01	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			3.93	334.4	-79.1	290.0	6	Extrusive:Igneous	Lava Flow		2.9100000000000003e-05	3.63e-05	2.23e-05	4.5e-07				-77.85	Basalt	McMurdo	166.69	IE-BICEP	g	mc1002			3.73e+22		592.0	78.67	114.49
0.348	5.0	0.0	0.004	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.235	Basalt	McMurdo	163.36	LP-PI	b	mc1003							
0.34	5.0	0.0	0.003	Ma		10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean						Extrusive:Igneous	Lava Flow		3.51e-05			3.44e-07	0.98	3		-77.84	Basalt	McMurdo	166.69	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1004	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1004d03:mc1004d04:mc1004d05	4.62e+22	3	4.52e+20		
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072								Extrusive:Igneous	Lava Flow									-77.83	Basalt	McMurdo	166.67	SO-SIGHT:FS-FD	b	mc1006			0.0				
0.6519	5.0	0.0	0.00235	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.204	Basalt	McMurdo	163.347	LP-PI	b	mc1007							
0.65	5.0	0.0	0.025	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.92	39.4	-77.6	361.0	8	Extrusive:Igneous	Lava Flow		4.33e-05			0.0				-77.8	Basalt	McMurdo	166.83	SO-SIGHT:FS-FD	g	mc1008			5.69e+22		0.0	73.84	233.43
0.074	5.0	0.0	0.0075	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			4.0	253.8	-82.8	192.0	8	Extrusive:Igneous	Lava Flow		2.8e-05	3.51e-05	2.39e-05					-77.55	Basalt	McMurdo	166.2	IE-BICEP	g	mc1009			0.0			68.75	26.67
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.11	335.9	-77.6	217.0	7	Extrusive:Igneous	Lava Flow									-77.57	Basalt	McMurdo	166.23	SO-SIGHT:FS-FD	g	mc1010			0.0			76.67	120.78
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.61	325.2	-76.8	452.0	8	Extrusive:Igneous	Lava Flow		5.14e-05			0.0				-77.57	Basalt	McMurdo	166.23	SO-SIGHT:FS-FD	g	mc1011			6.76e+22		0.0	73.57	107.24
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-77.58	Basalt	McMurdo	166.23	LP-PI	b	mc1012							
0.055	5.0	0.0	0.005	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-77.64	Basalt	McMurdo	166.41	LP-PI	b	mc1013							
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.61	0.5	-80.6	450.0	8	Extrusive:Igneous	Lava Flow		6.44e-05			0.0				-77.46	Basalt	McMurdo	169.23	SO-SIGHT:FS-FD	g	mc1014			8.48e+22		0.0	84.22	170.79
1.33	5.0	0.0	0.01	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	1.67	172.2	84.6	949.0	9	Extrusive:Igneous	Lava Flow		2.67e-05	3.06e-05	2.27e-05	1.25e-06	4.9	3		-77.47	Basalt	McMurdo	169.23	IE-BICEP	g	mc1015	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc15a:mc15b:mc15h	3.37e+22		1.65e+21	-87.6	206.18
0.0811	5.0	0.0	0.00755	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Extrusive:Igneous	Lava Flow		2.41e-05			6.97e-07				-77.88	Basalt	McMurdo	165.3	IE-TT:LP-PI-BT-IZZI:LP-PI-TRM:LP-PI-ALT-PTRM:FS-H	g	mc1019			3.17e+22	3	916.0		
0.77	5.0	0.0	0.016	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			5.34	137.9	-79.3	128.0	7	Intrusive:Igneous	Volcanic Dike		6.23e-05	6.929999999999999e-05	5.56e-05					-77.88	Basalt	McMurdo	165.02	IE-BICEP	g	mc1020			0.0			59.26	317.39
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			3.2	333.1	80.5	301.0	8	Extrusive:Igneous	Lava Flow		5.16e-05			0.0				-78.21	Basalt	McMurdo	166.49	SO-SIGHT:FS-FD	g	mc1021			6.78e+22		0.0	-60.51	149.53
0.06	5.0	0.0	0.003	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.29	Basalt	McMurdo	164.73	LP-PI	b	mc1028							
0.18	5.0	0.0	0.04	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	6.52	25.2	-78.5	106.0	6	Extrusive:Igneous	Volcanic Dike		4.47e-05	4.8e-05	4.17e-05	1.57e-06	3.48	4		-78.31	Basalt	McMurdo	164.8	IE-BICEP	g	mc1029	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1029a04:mc1029a05:mc1029c04:mc1029c06	5.94e+22		2.06e+21	77.46	212.45
	5.0	0.0		Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	4.69	242.5	68.8	140.0	8	Extrusive:Igneous	Lava Flow		4.78e-05	4.96e-05	4.6e-05	4.21e-06	8.99	4		-78.34	Basalt	McMurdo	164.87	IE-BICEP	g	mc1030	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1030b03:mc1030b06:mc30a:mc30e	6.15e+22		5.53e+21	-56.2	62.68
0.133	5.0	0.0	0.00585	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean						Extrusive:Igneous	Lava Flow		3.12e-05	3.9e-05	2.35e-05	1.31e-06	4.28	3		-78.35	Basalt	McMurdo	164.3	IE-BICEP	g	mc1031	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1031b03:mc1031b04:mc1031b05	4.03e+22	3	1.72e+21		
0.0078	5.0	0.0	0.006	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	4.66	266.1	-75.3	168.0	7	Extrusive:Igneous	Lava Flow		3.12e-05	3.49e-05	2.79e-05	1e-06	3.41	5		-78.36	Basalt	McMurdo	164.3	IE-BICEP	g	mc1032	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1032c02:mc1032c03:mc1032c04:mc1032c06:mc32e	3.85e+22		1.31e+21	59.42	49.97
0.1312	5.0	0.0	0.015	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.84	9.6	-74.5	381.0	8	Extrusive:Igneous	Lava Flow									-78.38	Basalt	McMurdo	164.34	SO-SIGHT:FS-FD	g	mc1033			0.0			72.34	179.81
0.1312	5.0	0.0	0.00415	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.84	9.6	-74.5	381.0	8	Extrusive:Igneous	Lava Flow									-78.38	Basalt	McMurdo	164.34	SO-SIGHT:FS-FD	g	mc1033			0.0			72.34	179.81
8.88	5.0	0.0	0.00415	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.84	9.6	-74.5	381.0	8	Extrusive:Igneous	Lava Flow									-78.38	Basalt	McMurdo	164.34	SO-SIGHT:FS-FD	g	mc1033			0.0			72.34	179.81
8.88	5.0	0.0	0.015	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.84	9.6	-74.5	381.0	8	Extrusive:Igneous	Lava Flow									-78.38	Basalt	McMurdo	164.34	SO-SIGHT:FS-FD	g	mc1033			0.0			72.34	179.81
0.3447	5.0	0.0	0.02225	Ma		10.1029/2020JB020834:10.1029/2008GC002072			3.05	281.6	-82.2	393.0	7	Extrusive:Igneous	Lava Flow									-78.39	Basalt	McMurdo	164.27	SO-SIGHT:FS-FD	g	mc1034			0.0			72.83	45.51
0.12	5.0	0.0	0.01	Ma		10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	3.12	301.6	-84.7	316.0	8	Extrusive:Igneous	Lava Flow		2.48e-05			5.92e-07	2.39	3		-78.39	Basalt	McMurdo	164.23	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	mc1035	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc35a:mc35b:mc35c	3.26e+22		7.77e+20	79.22	40.37
0.12			0.02	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	4.63	348.7	-82.2	171.0	7	Extrusive:Igneous	Lava Flow		2.88e-05	3.53e-05	2.22e-05	3.29e-06	12.65	3		-78.39	Basalt	McMurdo	164.27	IE-BICEP	g	mc1036	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc36a:mc36b:mc36h	3.41e+22		4.32e+21	85.47	123.34
4.47	5.0	0.0	0.02	Ma		10.1029/2020JB020834:10.1029/2008GC002072			3.12	215.6	81.6	316.0	8	Extrusive:Igneous	Lava Flow		6.47e-05			0.0				-78.4	Basalt	McMurdo	164.27	SO-SIGHT:FS-FD	g	mc1037			8.5e+22		0.0	-80.32	63.03
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.02	295.7	-77.9	227.0	7	Extrusive:Igneous	Lava Flow		4.22e-05			0.0				-78.4	Basalt	McMurdo	164.21	SO-SIGHT:FS-FD	g	mc1038			5.54e+22		0.0	69.18	71.4
0.084	5.0	0.0	0.004	Ma		10.1029/2020JB020834:10.1029/2008GC002072			3.14	282.7	-87.3	371.0	7	Extrusive:Igneous	Lava Flow		2.88e-05			0.0				-78.39	Basalt	McMurdo	164.21	SO-SIGHT:FS-FD	g	mc1039			3.78e+22		0.0	78.34	11.16
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.12	194.4	-83.0	215.0	7	Extrusive:Igneous	Lava Flow									-78.39	Basalt	McMurdo	164.2	SO-SIGHT:FS-FD	g	mc1040			0.0			64.8	352.21
0.28	5.0	0.0	0.01	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.59	270.5	-78.3	144.0	6	Extrusive:Igneous	Lava Flow									-78.39	Basalt	McMurdo	164.2	SO-SIGHT:FS-FD	g	mc1041			0.0			64.91	48.68
	5.0	0.0		Ma		2008GC002072								Extrusive:Igneous	Lava Flow									-77.85098	Basalt	McMurdo	166.68036	DE-DI:DE-FM:DE-BFL:LP-DC5	b	mc1042							
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			6.57	280.5	-85.1	104.0	6	Extrusive:Igneous	Lava Flow									-78.37	Basalt	McMurdo	164.24	SO-SIGHT:FS-FD	g	mc1043			0.0			76.31	28.84
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.37	325.2	-74.1	161.0	8	Extrusive:Igneous	Lava Flow		3.27e-05			4.65e-06				-78.36	Basalt	McMurdo	164.26	SO-SIGHT:FS-FD	g	mc1044			4.29e+22		6.11e+21	68.91	112.52
	5.0	0.0		Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.43	75.8	-54.9	229.0	6	Extrusive:Igneous	Lava Flow									-78.24	Basalt	McMurdo	163.36	SO-SIGHT:FS-FD	g	mc1048			0.0			37.46	247.75
0.86	5.0	0.0	0.115	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.26	12.6	-74.3	163.0	6	Extrusive:Igneous	Lava Flow									-78.3	Basalt	McMurdo	162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1100			0.0			71.91	183.04
1.065	5.0	0.0	0.004	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.28	35.8	-79.1	863.0	6	Extrusive:Igneous	Lava Flow									-78.31	Basalt	McMurdo	162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1101			0.0			76.63	228.3
0.264	5.0	0.0	0.01	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.235	Basalt	McMurdo	163.352	LP-PI	b	mc1102							
1.421	5.0	0.0	0.015	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			4.07	136.7	71.2	220.0	7	Extrusive:Igneous	Lava Flow		2.01e-05	2.77e-05	1.45e-05	0.0				-78.24	Basalt	McMurdo	163.36	IE-BICEP	g	mc1103			2.81e+22		0.0	-63.22	284.43
0.29	5.0	0.0	0.01	Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.37	69.0	-75.5	236.0	6	Extrusive:Igneous	Lava Flow									-78.24	Basalt	McMurdo	163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1104			0.0			64.57	256.05
13.42	5.0	0.0	0.09	Ma		10.1029/2020JB020834:10.1029/2008GC002072			3.22	18.4	-76.3	434.0	6	Extrusive:Igneous	Lava Flow									-78.21	Basalt	McMurdo	163.31	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1106			0.0			74.77	195.08
2.57	5.0	0.0	0.19	Ma		10.1029/2020JB020834:10.1029/2008GC002072			2.4	95.5	-84.5	783.0	6	Extrusive:Igneous	Lava Flow									-78.2	Basalt	McMurdo	163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1107			0.0			73.24	302.61
0.41	5.0	0.0	0.07	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.247	Basalt	McMurdo	163.323	LP-PI	b	mc1108							
1.261	5.0	0.0	0.02	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	2.61	172.6	76.0	661.0	6	Extrusive:Igneous	Lava Flow		3.32e-05	3.7e-05	2.95e-05	2.3e-06	7.06	3		-78.28	Basalt	McMurdo	163.54	IE-BICEP	g	mc1109	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc109c1:mc109d1:mc109e1	4.27e+22		3.02e+21	-75.05	330.67
7.94	5.0	0.0	0.12	Ma		10.1029/2020JB020834:10.1029/2008GC002072			4.28	253.4	80.0	245.0	6	Extrusive:Igneous	Lava Flow									-78.24	Basalt	McMurdo	163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	g	mc1110			0.0			-70.5	90.73
1.99	5.0	0.0	0.02	Ma		10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834			1.75	47.9	-67.8	1193.0	7	Extrusive:Igneous	Lava Flow		2.14e-05	2.46e-05	1.85e-05	2e-07				-78.22	Basalt	McMurdo	162.79	IE-BICEP	g	mc1111			3.49e+22		263.0	57.67	224.09
7.63	5.0	0.0	0.16	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.31	232.9	74.4	159.0	6	Extrusive:Igneous	Lava Flow									-78.24	Basalt	McMurdo	163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	g	mc1112			0.0			-66.16	57.65
6.73	5.0	0.0	0.085	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.3	257.0	77.6	130.0	7	Extrusive:Igneous	Lava Flow		1.2e-05			0.0				-78.23	Basalt	McMurdo	162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1113			1.58e+22		0.0	-66.15	86.78
1.62	5.0	0.0	0.14	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.238	Basalt	McMurdo	163.401	LP-PI	b	mc1114							
2.46	5.0	0.0	0.155	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	4.5	74.9	67.5	222.0	6	Extrusive:Igneous	Lava Flow		3.12e-05	3.58e-05	2.67e-05	3.59e-06	11.5	5		-78.24	Basalt	McMurdo	162.96	IE-BICEP	g	mc1115	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1115a02:mc1115a03:mc1115a04:mc1115a05:mc115a2	4.1e+22		4.72e+21	-46.06	225.53
1.14	5.0	0.0	0.055	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.36	275.6	-80.7	157.0	6	Extrusive:Igneous	Lava Flow									-78.22	Basalt	McMurdo	162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	g	mc1116			0.0			69.47	44.8
2.28	5.0	0.0	0.12	Ma		10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	1.97	169.0	68.9	1152.0	6	Extrusive:Igneous	Lava Flow		2.66e-05			1.93e-07	0.72	4		-78.24	Basalt	McMurdo	162.97	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-TRM:IE-TT	g	mc1117	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc117a1:mc117b1:mc117d2:mc117e2	3.49e+22		2.54e+20	-63.8	327.66
0.31	5.0	0.0	0.02	Ma		10.1029/2020JB020834:10.1029/2008GC002072			5.82	58.6	-52.2	108.0	7	Extrusive:Igneous	Lava Flow									-78.24	Basalt	McMurdo	163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	g	mc1118			0.0			38.29	229.21
1.08	5.0	0.0	0.11	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	2.16	126.3	48.4	966.0	6	Extrusive:Igneous	Lava Flow		3.77e-05	4.09e-05	3.46e-05	1.85e-06	4.9	4		-78.24	Basalt	McMurdo	162.96	IE-BICEP	g	mc1119	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1119a03:mc1119a04:mc1119a05:mc1119a06	4.95e+22		2.43e+21	-35.84	282.93
1.756	5.0	0.0	0.025	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	2.06	72.4	-70.5	624.0	9	Extrusive:Igneous	Lava Flow		2.47e-05	2.7e-05	2.24e-05	2.53e-07	1.05	3		-78.24	Basalt	McMurdo	163.09	IE-BICEP	g	mc1120	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc120b1:mc120c1:mc120f1	3.17e+22		3.32e+20	56.57	252.59
2.505	5.0	0.0	0.03	Ma		This study:10.1029/2020JB020834	IE-SPEC:IE-SITE	paleointensity mean	1.91	117.8	79.1	641.0	1	Extrusive:Igneous	Lava Flow		3.28e-05	3.57e-05	2.88e-05	4.72e-06	11.69	6		-78.24	Basalt	McMurdo	162.95	IE-BICEP	g	mc1121	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	mc1121a06:mc1121a07:mc1121a08:mc1121a09:mc1121a10:mc121g1	5.31e+22		6.2e+21	-71.4	248.26
12.699	5.0	0.0	0.045	Ma		10.1029/2020JB020834:10.1029/2008GC002072								Igneous:Extrusive	Lava Flow									-78.2	Basalt	McMurdo	166.54	LP-PI	b	mc1122							
