tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW301B	HW301
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW302A	HW302
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW303A	HW303
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW304A	HW304
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW305A	HW305
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	HW306A	HW306
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA100A	OA100
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA100B	OA100
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA100C	OA100
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA101A	OA101
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA101B	OA101
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA101C	OA101
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA102A	OA102
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA102B	OA102
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA103A	OA103
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA104A	OA104
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA105A	OA105
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA106A	OA106
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA107A	OA107
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA108A	OA108
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA108B	OA108
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA109A	OA109
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA110A	OA110
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA111A	OA111
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA112A	OA112
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA112B	OA112
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA112C	OA112
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA113A	OA113
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA114A	OA114
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA115A	OA115
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA116A	OA116
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA117A	OA117
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA118A	OA118
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA119A	OA119
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA120A	OA120
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA121A	OA121
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA122A	OA122
