tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.41		164.28	FS-H	mc1037a	mc1037
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.4		164.25	FS-H	mc1039d	mc1039
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.36		164.26	FS-H	mc1044c	mc1044
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-H	mc1101a	mc1101
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		281.76	FS-H	mc1102a	mc1304
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-H	mc1103c	mc1103
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-H	mc1104c	mc1304
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.245		281.755	FS-H	mc1105a	mc1305
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-H	mc1107b	mc1107
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-H	mc1108b	mc1108
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-H	mc1111c	mc1111
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-H	mc1112a	mc1112
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-H	mc1114b	mc1114
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-H	mc1115a	mc1115
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-H	mc1116a	mc1116
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-H	mc1118c	mc1118
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-H	mc1119a	mc1119
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-H	mc1121a	mc1121
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.187		163.58	FS-H	mc1122i	mc1122
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-H	mc1123a	mc1123
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-H	mc1125a	mc1125
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-H	mc1126c	mc1126
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-H	mc1127a	mc1127
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.58		282.42	FS-H	mc1129c	mc1303
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-H	mc1130b	mc1130
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.21		166.55	FS-H	mc1132b	mc1132
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.2		166.58	FS-H	mc1133a	mc1133
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.22		166.61	FS-H	mc1134c	mc1134
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.23		166.57	FS-H	mc1135a	mc1135
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.28		163.33	FS-H	mc1136a	mc1136
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.26		163.26	FS-H	mc1137c	mc1137
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.26		163.24	FS-H	mc1138c	mc1138
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.26		163.08	FS-H	mc1139b	mc1139
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.28		163.0	FS-H	mc1140c	mc1140
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.58		282.42	FS-H	mc1141c	mc1303
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		162.88	FS-H	mc1143a	mc1143
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	FS-H	mc1144a	mc1144
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		162.89	FS-H	mc1145a	mc1145
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.22		162.96	FS-H	mc1146b	mc1146
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.2		162.96	FS-H	mc1147c	mc1147
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.49		167.25	FS-H	mc1148b	mc1148
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.71		162.64	FS-H	mc1150c	mc1150
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.76		162.14	FS-H	mc1153b	mc1153
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.72		162.63	FS-H	mc1154a	mc1154
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.7		162.25	FS-H	mc1155b	mc1155
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.7		162.59	FS-H	mc1156c	mc1156
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.7		162.26	FS-H	mc1157b	mc1157
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.69		162.46	FS-H	mc1158b	mc1158
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.69		162.36	FS-H	mc1160b	mc1160
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.702		282.298	FS-H	mc1161b	mc1306
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.702		282.298	FS-H	mc1162a	mc1306
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.7		162.68	FS-H	mc1163a	mc1163
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.51		169.33	FS-H	mc1165b	mc1165
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.49		169.29	FS-H	mc1168b	mc1168
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.85		166.71	FS-H	mc1170b	mc1170
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.55		166.16	FS-H	mc1200c	mc1200
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.56		166.22	FS-H	mc1201c	mc1201
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.66		166.36	FS-H	mc1202b	mc1202
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.66		166.36	FS-H	mc1202c	mc1202
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.1945		281.8055	FS-H	mc1204a	mc1302
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.66		166.73	FS-H	mc1205a	mc1205
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.67		166.78	FS-H	mc1206b	mc1206
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.68		166.52	FS-H	mc1207a	mc1207
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.67		166.53	FS-H	mc1208a	mc1208
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.69		166.37	FS-H	mc1209c	mc1209
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.69		166.37	FS-H	mc1210b	mc1210
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.66		166.34	FS-H	mc1211c	mc1211
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.57		166.36	FS-H	mc1212b	mc1212
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.22		166.43	FS-H	mc1213a	mc1213
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.22		166.43	FS-H	mc1214a	mc1214
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.48		166.89	FS-H	mc1215b	mc1215
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.45		166.81	FS-H	mc1216b	mc1216
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.8478		282.1522	FS-H	mc1219a	mc1307
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.46		166.91	FS-H	mc1220c	mc1220
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.52		166.8	FS-H	mc1221a	mc1221
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.52		166.8	FS-H	mc1221c	mc1221
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.54		166.85	FS-H	mc1222b	mc1222
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.66		166.79	FS-H	mc1223a	mc1223
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.53		166.88	FS-H	mc1224a	mc1224
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.53		166.88	FS-H	mc1224b	mc1224
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.58		166.8	FS-H	mc1225a	mc1225
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.58		166.8	FS-H	mc1225b	mc1225
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.58		166.8	FS-H	mc1225c	mc1225
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.61		166.77	FS-H	mc1226b	mc1226
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.27		166.73	FS-H	mc1227c	mc1227
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.27		166.38	FS-H	mc1228a	mc1228
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-77.48		167.15	FS-H	mc1229a	mc1229
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.35		164.3	FS-H	mc1032c	mc1032
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-H	mc1120a	mc1120
0.0	This study:10.1029/2008GC002072	0.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-H	mc1127d	mc1127
260.0	This study:10.1029/2008GC002072	-57.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01a	mc1001
189.0	This study:10.1029/2008GC002072	-63.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01b	mc1001
183.0	This study:10.1029/2008GC002072	-30.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01c	mc1001
133.0	This study:10.1029/2008GC002072	-57.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01d	mc1001
91.0	This study:10.1029/2008GC002072	-51.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01e	mc1001
94.0	This study:10.1029/2008GC002072	-55.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01f	mc1001
69.0	This study:10.1029/2008GC002072	-56.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01g	mc1001
157.0	This study:10.1029/2008GC002072	-41.0	Extrusive:Igneous	Lava Flow		-77.85		166.69	SO-SIGHT:FS-FD	mc01h	mc1001
190.0	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02a	mc1002
231.0	This study:10.1029/2008GC002072	-59.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02b	mc1002
220.0	This study:10.1029/2008GC002072	-58.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02c	mc1002
235.0	This study:10.1029/2008GC002072	-43.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02e	mc1002
182.0	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02f	mc1002
197.0	This study:10.1029/2008GC002072	-32.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02g	mc1002
298.0	This study:10.1029/2008GC002072	-48.0	Extrusive:Igneous	Lava Flow		-77.85		166.75	SO-SIGHT:FS-FD	mc02h	mc1002
306.0	This study:10.1029/2008GC002072	-68.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03a	mc1003
287.0	This study:10.1029/2008GC002072	-66.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03b	mc1003
291.0	This study:10.1029/2008GC002072	-76.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03c	mc1003
250.0	This study:10.1029/2008GC002072	-58.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03d	mc1003
305.0	This study:10.1029/2008GC002072	-86.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03f	mc1003
274.0	This study:10.1029/2008GC002072	-58.0	Extrusive:Igneous	Lava Flow		-77.84		166.76	SO-SIGHT:FS-FD	mc03h	mc1003
91.0	This study:10.1029/2008GC002072	-43.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04a	mc1004
86.0	This study:10.1029/2008GC002072	-50.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04b	mc1004
124.0	This study:10.1029/2008GC002072	-68.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04e	mc1004
151.0	This study:10.1029/2008GC002072	-39.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04f	mc1004
306.0	This study:10.1029/2008GC002072	-29.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04g	mc1004
44.0	This study:10.1029/2008GC002072	-55.0	Intrusive:Igneous	Volcanic Dike		-77.84		166.69	SO-SIGHT:FS-FD	mc04h	mc1004
137.0	This study:10.1029/2008GC002072	-23.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	SO-SIGHT:FS-FD	mc06a	mc1006
209.0	This study:10.1029/2008GC002072	-26.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	SO-SIGHT:FS-FD	mc06c	mc1006
128.0	This study:10.1029/2008GC002072	-20.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	SO-SIGHT:FS-FD	mc06d	mc1006
97.0	This study:10.1029/2008GC002072	-22.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	SO-SIGHT:FS-FD	mc06g	mc1006
81.0	This study:10.1029/2008GC002072	-22.0	Extrusive:Igneous	Lava Flow		-77.83		166.66	SO-SIGHT:FS-FD	mc06h	mc1006
314.0	This study:10.1029/2008GC002072	-47.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	SO-SIGHT:FS-FD	mc07b	mc1007
304.0	This study:10.1029/2008GC002072	-53.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	SO-SIGHT:FS-FD	mc07c	mc1007
270.0	This study:10.1029/2008GC002072	-45.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	SO-SIGHT:FS-FD	mc07d	mc1007
290.0	This study:10.1029/2008GC002072	-49.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	SO-SIGHT:FS-FD	mc07e	mc1007
299.0	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-77.8		166.78	SO-SIGHT:FS-FD	mc07f	mc1007
245.0	This study:10.1029/2008GC002072	-54.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08a	mc1008
320.0	This study:10.1029/2008GC002072	-35.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08b	mc1008
197.0	This study:10.1029/2008GC002072	-32.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08c	mc1008
74.0	This study:10.1029/2008GC002072	-28.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08d	mc1008
345.0	This study:10.1029/2008GC002072	-27.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08e	mc1008
234.0	This study:10.1029/2008GC002072	-49.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08f	mc1008
315.0	This study:10.1029/2008GC002072	-48.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08g	mc1008
292.0	This study:10.1029/2008GC002072	-32.0	Extrusive:Igneous	Lava Flow		-77.8		166.84	SO-SIGHT:FS-FD	mc08h	mc1008
14.0	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09a	mc1009
85.0	This study:10.1029/2008GC002072	-48.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09b	mc1009
54.0	This study:10.1029/2008GC002072	-67.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09c	mc1009
37.0	This study:10.1029/2008GC002072	-76.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09d	mc1009
36.0	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09e	mc1009
67.0	This study:10.1029/2008GC002072	-75.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09f	mc1009
291.0	This study:10.1029/2008GC002072	-57.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09g	mc1009
337.0	This study:10.1029/2008GC002072	-56.0	Extrusive:Igneous	Lava Flow		-77.55		166.2	SO-SIGHT:FS-FD	mc09h	mc1009
359.9	This study:10.1029/2008GC002072	-65.0	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100a	mc1100
344.5	This study:10.1029/2008GC002072	-47.0	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100d	mc1100
350.7	This study:10.1029/2008GC002072	-47.5	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100e	mc1100
333.9	This study:10.1029/2008GC002072	-48.0	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100f	mc1100
205.1	This study:10.1029/2008GC002072	-28.5	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100g	mc1100
194.9	This study:10.1029/2008GC002072	-31.0	Extrusive:Igneous	Lava Flow		-78.24		162.9	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc100h	mc1100
150.0	This study:10.1029/2008GC002072	-64.0	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101a	mc1101
129.4	This study:10.1029/2008GC002072	-49.5	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101b	mc1101
129.0	This study:10.1029/2008GC002072	-50.5	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101c	mc1101
141.8	This study:10.1029/2008GC002072	-68.0	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101d	mc1101
139.2	This study:10.1029/2008GC002072	-73.5	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101f	mc1101
131.9	This study:10.1029/2008GC002072	-65.0	Extrusive:Igneous	Lava Flow		-78.31		162.93	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc101h	mc1101
241.4	This study:10.1029/2008GC002072	-79.5	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc102a	mc1102
222.8	This study:10.1029/2008GC002072	-82.5	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc102b	mc1102
302.1	This study:10.1029/2008GC002072	-56.0	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc102e	mc1102
240.5	This study:10.1029/2008GC002072	-84.0	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc102f	mc1102
244.2	This study:10.1029/2008GC002072	-72.0	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc102g	mc1102
296.7	This study:10.1029/2008GC002072	-66.0	Extrusive:Igneous	Lava Flow		-78.23		163.35	FS-LOC-GPS:SO-CMD-NORTH:SO-POM:FS-FD	mc102m	mc1102
147.8	This study:10.1029/2008GC002072	-37.0	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc103a	mc1103
141.2	This study:10.1029/2008GC002072	-45.0	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc103b	mc1103
151.2	This study:10.1029/2008GC002072	-59.5	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc103c	mc1103
152.5	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc103d	mc1103
159.7	This study:10.1029/2008GC002072	-57.0	Extrusive:Igneous	Lava Flow		-78.24		163.36	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc103e	mc1103
37.5	This study:10.1029/2008GC002072	-70.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc104a	mc1304
32.8	This study:10.1029/2008GC002072	-85.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc104b	mc1304
66.1	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc104c	mc1304
66.8	This study:10.1029/2008GC002072	-94.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc104d	mc1304
13.8	This study:10.1029/2008GC002072	-59.0	Extrusive:Igneous	Lava Flow		-78.24		163.4	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc104f	mc1304
262.9	This study:10.1029/2008GC002072	-29.0	Extrusive:Igneous	Lava Flow		-78.21		163.31	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc106a	mc1106
218.6	This study:10.1029/2008GC002072	-34.5	Extrusive:Igneous	Lava Flow		-78.21		163.31	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc106b	mc1106
177.6	This study:10.1029/2008GC002072	-78.5	Extrusive:Igneous	Lava Flow		-78.21		163.31	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc106c	mc1106
178.9	This study:10.1029/2008GC002072	-65.5	Extrusive:Igneous	Lava Flow		-78.21		163.31	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc106d	mc1106
198.7	This study:10.1029/2008GC002072	-52.0	Extrusive:Igneous	Lava Flow		-78.21		163.31	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc106e	mc1106
168.7	This study:10.1029/2008GC002072	-34.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc107c	mc1107
175.2	This study:10.1029/2008GC002072	-34.5	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc107d	mc1107
181.1	This study:10.1029/2008GC002072	-37.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc107e	mc1107
173.3	This study:10.1029/2008GC002072	-53.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc107h	mc1107
139.3	This study:10.1029/2008GC002072	-30.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc107k	mc1107
151.1	This study:10.1029/2008GC002072	-30.0	Extrusive:Igneous	Lava Flow		-78.2		163.35	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc107l	mc1107
347.3	This study:10.1029/2008GC002072	-63.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc108a	mc1108
352.8	This study:10.1029/2008GC002072	-61.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108b	mc1108
337.3	This study:10.1029/2008GC002072	-51.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108c	mc1108
354.8	This study:10.1029/2008GC002072	-66.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108d	mc1108
