tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_b_beta	int_cdrat	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_dang	int_drat	int_drats	int_f	int_frac	int_fvds	int_g	int_gmax	int_k	int_k_max	int_k_min	int_k_prime	int_mad_coe	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML006A		ML006A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML006A		ML006A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML007A		ML007A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML007B		ML007B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML008A		ML008A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML008A		ML008A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML009A		ML009A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML009A		ML009A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML010A		ML010A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML010A		ML010A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML011A		ML011A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML011B		ML011B01
														This Study											2.56e-05	2.76e-05	2.4e-05							1.3420177142792702	3.759682635290211							-0.463	-0.328	-0.599		2.088737289119816	1.8972600378712785						843.0	273.0	Kelvin	IE-BICEP		ML012A		ML012A01
														This Study											2.9e-05	2.95e-05	2.85e-05							0.9874185100532464	1.4406927152060591							0.057	0.106	0.008		1.105712630515335	1.5800164069584894						873.0	473.0	Kelvin	IE-BICEP		ML012A		ML012A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML013A		ML013A01
														This Study											3.4e-05	4.4e-05	2.26e-05							5.338997121135414	5.136344144360765							0.001	0.997	-1.148		0.358135141894802	0.9158482389862124						803.0	473.0	Kelvin	IE-BICEP		ML013A		ML013A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML014A		ML014A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML014A		ML014A02
														This Study											2.16e-05	2.21e-05	2.1e-05							2.022601454343499	2.271674990708646							0.38	0.473	0.287		1.6665420085524376	2.6631374575135665						873.0	473.0	Kelvin	IE-BICEP		ML015A		ML015A01
														This Study											1.6e-05	1.65e-05	1.56e-05							2.052958240902964	4.325836736237882							0.163	0.254	0.086		3.0634408002866897	3.2171265422021835						843.0	373.0	Kelvin	IE-BICEP		ML015A		ML015A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016A		ML016A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016A		ML016A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016B		ML016B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016B		ML016B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016C		ML016C01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016C		ML016C02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		ML016D		ML016D01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA001A		OA001A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA001A		OA001A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA002A		OA002A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA002A		OA002A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA002B		OA002B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA002B		OA002B02
														This Study											3.48e-05	3.76e-05	3.23e-05							2.489188764383268	2.5433645843837978							-0.304	-0.157	-0.444		4.55865205080479	4.730876889132276						833.0	273.0	Kelvin	IE-BICEP		OA003B		OA003B01
														This Study											2.94e-05	3.19e-05	2.71e-05							4.680651129802871	1.3020639230560702							0.029	0.177	-0.117		4.142623912760087	4.620249687490511						843.0	373.0	Kelvin	IE-BICEP		OA003C		OA003C01
														This Study											2.61e-05	2.82e-05	2.43e-05							4.317238368897898	1.073568718000344							0.154	0.301	-0.005		3.3300500997255327	4.029958084451164						843.0	373.0	Kelvin	IE-BICEP		OA003C		OA003C02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA004A		OA004A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA004A		OA004A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA005A		OA005A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA005A		OA005A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA006A		OA006A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA006A		OA006A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA007A		OA007A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA007A		OA007A02
														This Study											2.12e-05	2.38e-05	1.8100000000000003e-05							2.9606066983083164	3.1355839080790786							0.085	0.554	-0.429		3.6428544089722954	3.5681382380871915						698.0	373.0	Kelvin	IE-BICEP		OA008A		OA008A01
														This Study											1.98e-05	2.23e-05	1.74e-05							2.5031070079012268	3.486887941864968							0.015	0.419	-0.443		1.8117917977007687	3.823538553109519						673.0	373.0	Kelvin	IE-BICEP		OA008A		OA008A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA009A		OA009A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA009A		OA009A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA010A		OA010A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA010A		OA010A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA012A		OA012A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA012A		OA012A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA013A		OA013A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA013A		OA013A02
														This Study											1.5199999999999998e-05	1.56e-05	1.49e-05							0.1431395476125379	6.18173174815208							-0.133	-0.057	-0.21		3.417563941060545	5.6576824785156						823.0	273.0	Kelvin	IE-BICEP		OA014A		OA014A01
														This Study											9.6e-06	1.09e-05	8.8e-06							3.02456418227867	6.007675818030143							0.302	0.544	0.033		1.977554265154445	5.345369486096258						823.0	623.0	Kelvin	IE-BICEP		OA014A		OA014A02
														This Study											4.71e-05	5.08e-05	4.33e-05							1.4729757187145949	1.2028372505142857							0.092	0.256	-0.087		2.571155786853583	3.440891885043602						853.0	473.0	Kelvin	IE-BICEP		OA015A		OA015A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA016A		OA016A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA016A		OA016A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA016B		OA016B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA016B		OA016B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA017A		OA017A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA017A		OA017A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018D		OA018D01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018D		OA018D02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018F		OA018F01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018F		OA018F02
														This Study											2.52e-05	2.64e-05	2.4100000000000003e-05							1.4898420523390197	2.094194001174081							0.116	0.218	0.002		3.179969173504801	2.987048006248069						853.0	373.0	Kelvin	IE-BICEP		OA019C		OA019C01
														This Study											2.09e-05	2.2e-05	2e-05							3.430786869436121	3.820304728657481							-0.013	0.107	-0.131		3.926329497040769	3.624988620102945						863.0	373.0	Kelvin	IE-BICEP		OA019C		OA019C02
														This Study											2.8e-05	3.4e-05	2.35e-05							2.3440202395774103	6.69033728943161							-0.212	0.096	-0.528		1.2879744015337036	1.764010072846621						853.0	373.0	Kelvin	IE-BICEP		OA019D		OA019D01
														This Study											1.59e-05	1.7199999999999998e-05	1.46e-05							5.534692383863745	2.1135631024141874							0.899	1.1	0.674		1.8253786061233024	3.5858376401826466						853.0	373.0	Kelvin	IE-BICEP		OA019D		OA019D02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA020A		OA020A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA020A		OA020A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA021A		OA021A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA021A		OA021A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA022A		OA022A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA022A		OA022A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA023A		OA023A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA023A		OA023A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA024A		OA024A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA024A		OA024A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA025A		OA025A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA025A		OA025A02
														This Study											1.7e-05	1.83e-05	1.59e-05							3.830702346518976	3.873803113063548							0.021	0.129	-0.089		2.5713054404697324	3.5542942475348407						853.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A01
														This Study											1.43e-05	1.49e-05	1.37e-05							2.3406137397533726	5.902629400904018							0.218	0.334	0.099		1.872435700811972	3.1770892814469875						843.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA027A		OA027A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA027A		OA027A02
														This Study											3.27e-05	3.39e-05	3.16e-05							3.4709067944197884	1.0579044927070136							0.034	0.15	-0.083		4.6095657794697225	4.533152491738885						843.0	273.0	Kelvin	IE-BICEP		OA028A		OA028A01
														This Study											3.19e-05	3.26e-05	3.12e-05							2.347678651796458	1.0386564830010876							-0.019	0.046	-0.082		1.8971620819801256	3.3651385935060056						843.0	473.0	Kelvin	IE-BICEP		OA028A		OA028A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA029A		OA029A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA029A		OA029A02
														This Study											4.76e-05	4.8200000000000006e-05	4.69e-05							1.7099467344970425	1.645663209021691							0.013	0.057	-0.032		2.417675776123945	3.1969309959950385						863.0	473.0	Kelvin	IE-BICEP		OA030A		OA030A01
														This Study											4.39e-05	4.56e-05	4.24e-05							1.580913322670145	1.3534067676659411							-0.141	-0.035	-0.249		3.3499607060039143	4.078809839864188						863.0	473.0	Kelvin	IE-BICEP		OA030A		OA030A02
														This Study											5.04e-05	5.2e-05	4.88e-05							1.2541514690659965	2.619809218838713							-0.064	0.036	-0.162		3.3976958933872723	3.754538097058591						863.0	473.0	Kelvin	IE-BICEP		OA030D		OA030D01
														This Study											5.01e-05	5.17e-05	4.86e-05							1.2437707438496972	1.621822812075745							0.04	0.137	-0.059		3.8201826666430927	3.705564376231125						863.0	273.0	Kelvin	IE-BICEP		OA030D		OA030D02
														This Study											3.69e-05	4.08e-05	3.3799999999999995e-05							2.462459116911248	4.363951223861882							-0.297	-0.149	-0.467		3.86599254731568	3.886752243558012						843.0	373.0	Kelvin	IE-BICEP		OA003B		OA003B02
														This Study											4.77e-05	4.97e-05	4.57e-05							0.4206461060807416	2.2883270410931464							0.159	0.267	0.056		1.679952551382163	2.4822037016886105						853.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003A		OA003A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003A		OA003A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003A		OA003A03
														This Study											2.22e-05	8.81e-05	1.6899999999999997e-05							1.4932789225304155	0.0596481086837716							0.362	1.0	-2.484		4.332363249312395	4.314980242182208						573.0	273.0	Kelvin	IE-BICEP		OA003B		OA003B03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003B		OA003B04
														This Study											3.09e-05	3.2200000000000003e-05	2.99e-05							1.161272778088183	0.8330607310669125							-0.239	-0.138	-0.315		3.61564634718294	3.33580330934678						823.0	273.0	Kelvin	IE-BICEP		OA003B		OA003B05
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003B		OA003B06
														This Study											3.06e-05	3.15e-05	2.97e-05							1.7236428106125727	3.5360508486340363							-0.104	-0.039	-0.165		2.206345037582455	2.550030802788191						823.0	373.0	Kelvin	IE-BICEP		OA003B		OA003B07
														This Study											2.86e-05	2.95e-05	2.77e-05							3.7146757912839607	1.0063642000471178							-0.002	0.068	-0.07		0.9967246519784028	1.8018432253596597						843.0	373.0	Kelvin	IE-BICEP		OA003B		OA003B08
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003C		OA003C03
														This Study											1.8e-05	5.78e-05	1.4e-05							9.122091604654123	6.173780361947355							0.485	1.185	-1.307		4.319671682689707	8.00408938768288						673.0	273.0	Kelvin	IE-BICEP		OA003C		OA003C04
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA003C		OA003C05
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA008B		OA008B01
														This Study											2.13e-05	3.26e-05	1.51e-05							1.9441177014376607	5.55169236566949							0.274	1.462	-1.309		1.5516769358022635	3.2772500348483904						748.0	373.0	Kelvin	IE-BICEP		OA008B		OA008B03
														This Study											1.93e-05	2.25e-05	1.6e-05							5.021465150239191	4.575305731460191							0.198	0.767	-0.464		0.3570382225249122	1.495545802074019						698.0	373.0	Kelvin	IE-BICEP		OA008B		OA008B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A04
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A05
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A06
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A07
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA011A		OA011A08
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA014A		OA014A03
														This Study											1.35e-05	1.41e-05	1.3e-05							5.263906051180426	6.656179353947546							0.132	0.275	-0.02		2.060970526993253	7.397878808255409						773.0	273.0	Kelvin	IE-BICEP		OA014A		OA014A04
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA014A		OA014A05
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA014A		OA014A06
														This Study											9.9e-06	1.12e-05	9e-06							3.238254750922158	1.5701559050559526							-0.183	0.087	-0.446		2.928647371525664	4.340507640778252						823.0	273.0	Kelvin	IE-BICEP		OA014A		OA014A07
														This Study											1.6e-05	1.66e-05	1.53e-05							0.8711247559662564	8.686956848983822							-0.234	-0.137	-0.334		0.9415530708691164	3.4898153744467835						803.0	373.0	Kelvin	IE-BICEP		OA014A		OA014A08
														This Study											3.51e-05	3.77e-05	3.26e-05							0.5891587967587598	1.4240626087768269							-0.114	0.01	-0.237		3.167101979996803	3.4319843195313884						853.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A03
														This Study											3.26e-05	3.43e-05	3.1100000000000004e-05							1.4845700386696263	1.3732108671826524							-0.139	-0.036	-0.232		2.3644028157297194	2.572613938529253						873.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A04
														This Study											2.52e-05	2.69e-05	2.37e-05							1.750865785476554	1.7984154893820252							-0.263	-0.129	-0.396		1.6318373851986128	2.3593534983615423						853.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A05
														This Study											3.23e-05	3.33e-05	3.13e-05							1.2637268964189092	0.9122427761283468							-0.222	-0.156	-0.289		2.543049603133642	2.737071203249265						873.0	273.0	Kelvin	IE-BICEP		OA015A		OA015A06
														This Study											3.05e-05	3.17e-05	2.94e-05							2.5603820161124844	1.4249496311715988							-0.218	-0.147	-0.289		3.630573305910367	3.6309136643093183						873.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A07
														This Study											4.17e-05	4.46e-05	3.92e-05							2.3020590362379747	0.8300134479974361							0.113	0.288	-0.034		2.38461167850924	2.345723137468001						873.0	373.0	Kelvin	IE-BICEP		OA015A		OA015A08
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018B		OA018B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018B		OA018B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA018B		OA018B03
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		OA019A		OA019A01
														This Study											1e-05	1.14e-05	9.1e-06							8.656471920292866	2.7337702568761832							0.791	1.151	0.535		3.7329281619112975	4.970383702466429						723.0	373.0	Kelvin	IE-BICEP		OA019A		OA019A02
														This Study											1.45e-05	1.67e-05	1.29e-05							7.2342926913307135	0.9564875472241138							0.439	0.82	0.085		4.705768704606233	5.238855911644645						723.0	273.0	Kelvin	IE-BICEP		OA019A		OA019A03
														This Study											1.7199999999999998e-05	2.2e-05	1.46e-05							3.8106475934781145	4.816653829452091							0.573	0.988	-0.008		1.1427647923989217	2.2372505062853465						773.0	373.0	Kelvin	IE-BICEP		OA019B		OA019B01
														This Study											1.42e-05	1.6899999999999997e-05	1.24e-05							7.959311825320968	5.840777413315219							0.793	1.141	0.38		0.7110964993989753	2.231192831738676						773.0	373.0	Kelvin	IE-BICEP		OA019B		OA019B02
														This Study											8.400000000000001e-06	9.6e-06	7.4e-06							9.995214865486382	6.517132421326115							0.989	1.369	0.666		4.116259586571871	5.027946350013777						773.0	273.0	Kelvin	IE-BICEP		OA019B		OA019B03
														This Study											2.4100000000000003e-05	2.55e-05	2.29e-05							3.592402902778204	2.00433950805464							-0.17	-0.04	-0.297		2.306905306170293	2.297100834128567						823.0	373.0	Kelvin	IE-BICEP		OA019C		OA019C03
														This Study											2.15e-05	2.26e-05	2.04e-05							3.077932317053492	3.1609224774089717							-0.06	0.094	-0.206		1.9714862611124024	2.0771427683690806						823.0	273.0	Kelvin	IE-BICEP		OA019C		OA019C04
														This Study											1.91e-05	2.52e-05	1.66e-05							2.8737677882251123	0.4501126913357338							0.153	0.416	-0.186		0.0	4.576116608148282						623.0	373.0	Kelvin	IE-BICEP		OA019C		OA019C05
														This Study											2.32e-05	2.47e-05	2.19e-05							5.404984113912087	1.1276529587352848							0.264	0.415	0.093		2.148040706466563	3.785665615343497						823.0	373.0	Kelvin	IE-BICEP		OA019D		OA019D03
														This Study											1.83e-05	2.03e-05	1.6899999999999997e-05							0.6009844348954663	4.5536453734915705							0.447	0.664	0.18		0.4997641547271986	1.0646178602199672						773.0	373.0	Kelvin	IE-BICEP		OA019D		OA019D04
														This Study											2.44e-05	2.56e-05	2.33e-05							1.1700230224308052	1.100273558631009							-0.099	0.028	-0.23		1.4511375221369451	2.13240453870904						823.0	373.0	Kelvin	IE-BICEP		OA019D		OA019D05
														This Study											1.32e-05	1.42e-05	1.24e-05							3.000981651835985	2.3766495173958826							-0.287	-0.141	-0.422		3.768706181699315	4.478548464859035						853.0	273.0	Kelvin	IE-BICEP		OA026A		OA026A03
														This Study											2.0600000000000003e-05	2.21e-05	1.93e-05							1.9569878061079304	1.9994746379992905							-0.225	-0.107	-0.335		2.777699900823707	2.99735895648237						853.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A04
														This Study											1.27e-05	1.37e-05	1.19e-05							2.3287392631463724	3.0428754410272845							0.026	0.119	-0.067		2.385769953401539	4.1526793077909						853.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A05
														This Study											1.37e-05	1.48e-05	1.28e-05							4.13435226420441	3.707007132173503							0.18	0.408	-0.057		1.792889616309635	2.999413942195451						823.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A06
														This Study											1.36e-05	1.42e-05	1.3e-05							1.6564056292551543	3.137655067594148							-0.01	0.093	-0.113		3.1969337489667584	3.2949965305353435						863.0	373.0	Kelvin	IE-BICEP		OA026A		OA026A07
														This Study											1.37e-05	1.46e-05	1.28e-05							2.752390970412637	6.008090469301403							0.264	0.502	0.017		2.1186729805164632	3.445679365134571						823.0	473.0	Kelvin	IE-BICEP		OA026A		OA026A08
														This Study											3.78e-05	4.18e-05	3.33e-05							1.8475832453577372	4.013595853598643							-0.045	0.312	-0.38		1.2704832377152533	2.828804195552193						823.0	623.0	Kelvin	IE-BICEP		OA028A		OA028A03
														This Study											3.47e-05	3.64e-05	3.29e-05							1.9258149939513023	3.256949890272588							0.075	0.219	-0.072		1.1228937219120472	3.0221187584811724						823.0	623.0	Kelvin	IE-BICEP		OA028A		OA028A04
														This Study											2.95e-05	3.08e-05	2.82e-05							2.717650487495257	1.374199190508832							0.271	0.423	0.12		2.455577531335402	3.8694039679958414						823.0	473.0	Kelvin	IE-BICEP		OA028A		OA028A05
														This Study											3.3700000000000006e-05	3.5e-05	3.23e-05							3.944936878455891	2.1636850235791827							0.246	0.41	0.065		3.749878911133067	3.971827400795607						823.0	273.0	Kelvin	IE-BICEP		OA028A		OA028A06
														This Study											3.03e-05	3.15e-05	2.93e-05							5.06724297261388	2.8269627592472357							0.014	0.125	-0.089		2.4687156707401874	5.257604336418075						823.0	473.0	Kelvin	IE-BICEP		OA028A		OA028A08
														This Study											3.1e-05	3.23e-05	2.98e-05							4.696093537834259	1.8599917132320716							0.288	0.444	0.127		4.836678283306863	5.110412797089652						823.0	273.0	Kelvin	IE-BICEP		OA028A		OA028A07
														This Study											4.58e-05	4.73e-05	4.42e-05							0.8048087373195845	0.8370369661138845							-0.233	-0.131	-0.332		2.325330461990751	2.8562128713283728						873.0	473.0	Kelvin	IE-BICEP		OA030A		OA030A03
														This Study											4.48e-05	4.66e-05	4.3e-05							2.1001955323785086	1.134221926706972							-0.238	-0.132	-0.343		4.56494391985523	4.43339908294434						873.0	273.0	Kelvin	IE-BICEP		OA030A		OA030A04
														This Study											4.85e-05	5.06e-05	4.64e-05							2.297863604596698	1.1755330562945343							-0.167	-0.04	-0.288		3.106167711650273	3.562950165621628						843.0	473.0	Kelvin	IE-BICEP		OA030A		OA030A05
														This Study											4.01e-05	4.16e-05	3.8700000000000006e-05							1.5950064054367183	1.429366378133835							-0.123	-0.03	-0.223		3.863448201833556	3.934665964817718						853.0	273.0	Kelvin	IE-BICEP		OA030B		OA030B01
														This Study											3.86e-05	4.03e-05	3.71e-05							1.3553854318416916	1.145025306538162							-0.125	-0.017	-0.241		2.713483190926068	2.911396819275548						853.0	273.0	Kelvin	IE-BICEP		OA030B		OA030B02
