tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
1.67	5.0	0.0	0.02	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	3.34e-05			3.6e-06	10.79	3	3	33.02583333	Basalt	Golan Heights	35.49491204	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI18	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	6.28e+22		6.77e+21
2.45	5.0	0.0	0.0113	Ma	This study		Extrusive:Igneous	Volcanic Other	3.28e-05	3.94e-05	2.71e-05	3.075e-06	9.375000000000002		4347	32.99527778	Basalt	Golan Heights	35.52598611	IE-BICEP	g	GHI19		6.170264349896369e+22		5.784622828027847e+21
1.65	5.0	0.0	0.01	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	3.36e-05	3.92e-05	3.35e-05	1.63e-06	4.86	7	7	32.92629	Basalt	Golan Heights	35.84994	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI20	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	6.33e+22		3.07e+21
1.6765	5.0	0.0	0.0151	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	2.15e-05			1.36e-06	6.33	3	4	32.92629	Basalt	Golan Heights	35.84994	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI21	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	4.05e+22		2.56e+21
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								32.92629	Basalt	Golan Heights	35.84994	LP-PI-TRM	b	GHI22				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.24919	Basalt	Golan Heights	35.7894	LP-PI-TRM	b	GHI23				
3.33	5.0	0.0	0.01	Ma	This study		Extrusive:Igneous	Volcanic Other								33.248483	Basalt	Golan Heights	35.79011	LP-PI-TRM	b	GHI24				
0.8723	5.0	0.0	0.00265	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	5.82e-05	6.05e-05	4.39e-05	4.13e-06	7.1	4	4	33.218726	Basalt	Golan Heights	35.777062	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI25	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	1.09e+23		7.75e+21
0.8704	5.0	0.0	0.00845	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	4.89e-05			1.42e-06	2.91	6	6	33.22	Basalt	Golan Heights	35.77683333	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI26	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	9.17e+22		2.66e+21
1.1498	5.0	0.0	0.0174	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	3.73e-05			2.5e-06	6.71	6	6	33.2125	Basalt	Golan Heights	35.78615741	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI27	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	7e+22		4.69e+21
