tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
0.35425	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.95e-05			3.87e-07	0.98	5	5	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h98a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.81e+22		8.63e+20
0.4669			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	4.76e-05			1.79e-06	3.76	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp002		1.06e+23		3.99e+21
0.5322			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.49e-05			1.92e-08	0.05	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	hsdp003	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.79e+22		4.28e+19
0.5328			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	2.72e-05			1.43e-06	5.234	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp006		6.07e+22		3.18e+21
0.5381			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.98e-05			2.35e-06	5.903	5	5	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp011		8.87e+22		5.24e+21
0.538			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	5e-05			1.23e-06	2.46	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	hsdp017	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.12e+23		2.74e+21
0.5498			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	2.26e-05			1.13e-06	4.999	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp018		5.03e+22		2.52e+21
0.541			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.19e-05			1.99e-06	6.23	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	hsdp019	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.12e+22		4.44e+21
0.5407			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.85e-05			1.27e-06	3.299	4	4	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp021		8.59e+22		2.83e+21
0.5484			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.14e-05			2.8e-06	8.923	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp024		7.01e+22		6.26e+21
0.4971			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	4.28e-05			3.42e-06	7.98	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp025	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	9.55e+22		7.63e+21
0.5531			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.64e-05			1.62e-07	0.44	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	hsdp026	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.12e+22		3.62e+20
0.538			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	4.62e-05			3.09e-06	6.691	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp028		1.03e+23		6.9e+21
0.5484			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.46e-05			3.12e-06	9.03	4	4	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	hsdp032	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.72e+22		6.96e+21
0.5483			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.44e-05			1.67e-07	0.4865	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:LP-PI-TRM	g	hsdp034		7.68e+22		3.74e+20
0.5484			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3e-05			1.71e-06	5.708	4	4	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp038		6.69e+22		3.82e+21
0.4745			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	4.66e-05			2.23e-06	4.79	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp041		1.04e+23		4.98e+21
0.4451			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	1.78e-05			7.39e-07	4.16	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp043		3.96e+22		1.65e+21
0.4915			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	2.28e-05			2.65e-06	11.62	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp044		5.08e+22		5.9e+21
0.4453			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	2.85e-05			8.83e-07	3.097	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp046		6.36e+22		1.97e+21
0.5175			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.06e-05			5.6e-07	1.832	3	3	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp051		6.83e+22		1.25e+21
0.53			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.83e-05			1.82e-07	0.48	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp052	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.55e+22		4.06e+20
0.5175			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.44e-05			1.64e-06	4.77	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp053	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.68e+22		3.66e+21
0.5342			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.56e-05			2.4e-08	0.07	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp056	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.94e+22		5.36e+19
0.5479			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.52e-05			2.59e-07	0.74	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp058	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.85e+22		5.78e+20
0.5484			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.2e-05			2.1e-06	6.56	4	4	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp059	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.14e+22		4.69e+21
0.475			0.0	Ma	This study:10.1029/2001gc000276:This study	Recalculated from original measurements; supercedes published results. Intensity included in Pmag_Results.	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	5.68e-05			2.3e-06	4.047	4	4	19.76	Basalt	HSDP2	204.95	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g	hsdp060		1.27e+23		5.13e+21
0.5203			0.0	Ma	This study:10.1029/2001gc000276:This study	paleointensity mean	Extrusive:Igneous:Submarine	Lava Flow:Glassy Margin	3.25e-05			4.68e-07	1.44	3	3	19.76	Basalt	HSDP2	204.95	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	hsdp062	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.25e+22		1.04e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	5.04e-05	5.84e-05	4.36e-05	3.7e-06	7.341269841269841		4347	64.522	Basalt	Iceland	341.5283333	IE-BICEP	g	A11		7.022093134716584e+22		5.155108055248286e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	1.9e-05			7.29e-07	3.83	7	7	64.20183333	Basalt	Iceland	340.9443611	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A15	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.65e+22	7	1.02e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	4e-05	4.51e-05	3.49e-05	2.5499999999999997e-06	6.374999999999997		4347	64.44877778	Basalt	Iceland	339.48275	IE-BICEP	g	A2		5.5755024583426765e+22		3.554382817193455e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	6.22e-05			5.03e-06	8.09	4	4	64.673	Basalt	Iceland	342.2338889	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	A24	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.66e+22	4	7e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.93e-05			2.05e-06	5.23	3	3	64.69230556	Basalt	Iceland	342.1034722	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	A26	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.47e+22	3	2.85e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.12e-05			1.87e-06	5.98	4	4	63.97413889	Basalt	Iceland	341.2078056	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A28	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.36e+22	4	2.61e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	3.23e-05	3.63e-05	2.67e-05	2.4000000000000007e-06	7.430340557275545		4347	64.429	Basalt	Iceland	339.4296389	IE-BICEP	g	A3		4.502745589518119e+22		3.345693317289006e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.87e-05			1.25e-06	4.33	3	3	64.06138889	Basalt	Iceland	341.466	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A30	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.01e+22	3	1.75e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	5.95e-05			5.91e-07	0.99	3	3	64.11030556	Basalt	Iceland	341.5384167	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A31	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.31e+22	3	8.25e+20
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.07e-05			1.11e-06	3.61	8	8	64.08777778	Basalt	Iceland	340.9458333	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A34	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.29e+22	8	1.55e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	1.31e-05			9.61e-07	7.36	4	4	64.17216667	Basalt	Iceland	340.8614722	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A35	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.83e+22	5	1.34e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	3.77e-05	4.11e-05	3.45e-05	1.6500000000000011e-06	4.37665782493369		4347	64.45283333	Basalt	Iceland	339.6938889	IE-BICEP	g	A4		5.25478492026282e+22		2.2998395539611824e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	7.84e-05			2.22e-06	2.83	5	5	64.72322222	Basalt	Iceland	340.3853611	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	A8	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.09e+23	5	3.09e+21
0.0685	110.0	27.0	0.0415	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	4.49e-05			3.84e-06	8.54	4	4	64.01605556	Basalt	Iceland	338.1575556	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	HEL-2	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.27e+22	4	5.37e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.21e-05			3.9e-07	1.21	8	8	65.42663889	Basalt	Iceland	343.1843889	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	HS92-15	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.45e+22	9	5.41e+20
0.016	21.0	11.0	0.005	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.3e-05			1.41e-06	4.26	8	8	65.42511111	Basalt	Iceland	343.1839444	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	HS92-16	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.57e+22	8	1.95e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.87e-05			3.69e-07	1.29	5	5	64.24325	Basalt	Iceland	341.4173056	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	ICE08R-14	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.01e+22	6	5.15e+20
2.5	5000.0	0.0	2.5	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.3e-05			1.81e-06	5.48	3	3	64.82736111	Basalt	Iceland	342.2445	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	ICE08R-15	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.59e+22	3	2.52e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	8.59e-05	9.53e-05	7.8e-05	4.325e-06	5.034924330616996		4347	64.25175	Basalt	Iceland	341.3476667	IE-BICEP	g	ICE08R-20		1.1987419942029882e+23		6.035575232744963e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.61e-05			3.77e-06	10.44	3	3	64.32216667	Basalt	Iceland	341.5395	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	ICE08R-23	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.04e+22	3	5.26e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.52e-05			3.22e-06	9.13	3	3	64.3205	Basalt	Iceland	341.5673889	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	ICE08R-24	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.91e+22	3	4.49e+21
2.5	5000.0	0.0	2.5	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.53e-05			1.62e-06	4.58	8	8	65.033	Basalt	Iceland	343.767	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	NAL-365	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.9e+22	8	2.25e+21
0.39	390.0	390.0	0.0	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	4.37e-05			1.98e-06	4.53	4	4	64.73841667	Basalt	Iceland	343.37775	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	NAL-455	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.08e+22	4	2.76e+21
0.59	780.0	400.0	0.19	ka	This study:10.1002/2014JB011828:This study	NAL-460	Extrusive:Igneous	Volcanic Pillow	2.54e-05			1.6e-06	6.3	3	3	65.87916667	Basalt	Iceland	342.8443889	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	NAL-460		3.51e+22	3	2.21e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.03e-05			8.46e-07	2.79	4	4	64.78061111	Basalt	Iceland	342.4886944	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	NAL-500	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.22e+22	4	1.18e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.09e-05			4.33e-06	14.03	6	6	65.02797222	Basalt	Iceland	343.771	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	NAL-585	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.29e+22		6.02e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.28e-05	3.76e-05	2.8e-05	2.4e-06	7.317073170731708	6	4347	65.02797222	Basalt	Iceland	343.771	IE-BICEP	g	NAL-585	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.556444206023109e+22		3.3339835653827634e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	3.28e-05	3.76e-05	2.8e-05	2.4e-06	7.317073170731708		4347	65.02797222	Basalt	Iceland	343.771	IE-BICEP	g	NAL-585		4.556444206023109e+22		3.3339835653827634e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	6.24e-05			5.33e-06	8.55	7	7	64.78994444	Basalt	Iceland	342.8176944	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	NAL-595	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.68e+22	7	7.41e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	5.76e-05			4.59e-06	7.97	14	14	64.79844444	Basalt	Iceland	342.7996667	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	NAL-611	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.01e+22	14	6.38e+21
0.0685	110.0	27.0	0.0415	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	4.04e-05			2.98e-06	7.38	12	12	63.99739	Basalt	Iceland	338.11339	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl002	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.65e+22	12	4.16e+21
0.016	21.0	11.0	0.005	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	1.58e-05			2.89e-06	18.3	5	5	64.12054	Basalt	Iceland	338.68381	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl007	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.21e+22	5	4.04e+21
0.0685	110.0	27.0	0.0415	ka	This study:10.1002/2014JB011828:This study	isl009	Extrusive:Igneous	Volcanic Pillow	1.8e-05			2.5e-06	13.9	5	5	64.11542	Basalt	Iceland	338.70194	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	isl009		2.51e+22	5	3.49e+21
0.0685	110.0	27.0	0.0415	ka	This study:10.1002/2014JB011828:This study	isl009	Extrusive:Igneous	Volcanic Pillow	1.67e-05	1.88e-05	1.43e-05	1.1249999999999998e-06	6.736526946107784	5	4347	64.11542	Basalt	Iceland	338.70194	IE-BICEP	g	isl009		2.332401097870166e+22	5	1.571228284493375e+21
0.016	21.0	11.0	0.005	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.73e-05			2.37e-06	8.7	8	8	64.10016	Basalt	Iceland	338.75275	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	isl011	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.81e+22	1	3.31e+21
0.0685	110.0	27.0	0.0415	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.46e-05			3.16e-06	9.13	7	7	64.11546	Basalt	Iceland	338.85934	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl012	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.83e+22	6	4.41e+21
0.016	21.0	11.0	0.005	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	4.11e-05			2.86e-06	6.96	14	14	64.04375	Basalt	Iceland	338.64195	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	isl013	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.74e+22	14	4e+21
0.59	780.0	400.0	0.19	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	7.5e-05	8.4e-05	6.62e-05	4.45e-06	5.933333333333334		4347	64.01681	Basalt	Iceland	338.76418	IE-BICEP	g	isl014		1.0481065329883469e+23		6.218765429064192e+21
0.59	780.0	400.0	0.19	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	5.9e-05			5.26e-06	8.92	5	5	64.01681	Basalt	Iceland	338.76418	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl014b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.25e+22	3	7.35e+21
0.65	5000.0	0.0	2.5	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	4.44e-05	5.28e-05	3.71e-05	3.9250000000000005e-06	8.84009009009009		4347	63.98137	Basalt	Iceland	343.12015	IE-BICEP	g	isl018		6.206115975277728e+22		5.486262433100244e+21
